ETL_Batch_ID,Extract_Timestamp,Source_System,Records_Extracted,Records_Transformed,Records_Loaded,Execution_Time_Sec,Data_Quality_Status,Error_Count
ETL-BATCH-500,2026-01-01 00:00:00,SAP ERP,33415,33412,33412,23.37,DATA_QUALITY_ALERT,3
ETL-BATCH-501,2026-01-01 08:00:00,Salesforce CRM,33042,33042,33042,40.23,CLEAN,0
ETL-BATCH-502,2026-01-01 16:00:00,MySQL Transaction DB,14494,14494,14494,11.56,CLEAN,0
ETL-BATCH-503,2026-01-02 00:00:00,Legacy Flat File,46567,46567,46567,34.43,DUPLICATE_REMOVED,0
ETL-BATCH-504,2026-01-02 08:00:00,SAP ERP,23816,23816,23816,18.08,NULL_VALUE_IMPUTED,0
ETL-BATCH-505,2026-01-02 16:00:00,Salesforce CRM,31103,31103,31103,38.56,CLEAN,0
ETL-BATCH-506,2026-01-03 00:00:00,MySQL Transaction DB,39145,39145,39145,34.88,CLEAN,0
ETL-BATCH-507,2026-01-03 08:00:00,Legacy Flat File,22896,22891,22891,20.05,DATA_QUALITY_ALERT,5
ETL-BATCH-508,2026-01-03 16:00:00,SAP ERP,14040,14040,14040,16.04,DUPLICATE_REMOVED,0
ETL-BATCH-509,2026-01-04 00:00:00,Salesforce CRM,14436,14436,14436,12.11,NULL_VALUE_IMPUTED,0
ETL-BATCH-510,2026-01-04 08:00:00,MySQL Transaction DB,28527,28527,28527,25.49,CLEAN,0
ETL-BATCH-511,2026-01-04 16:00:00,Legacy Flat File,44881,44881,44881,36.1,CLEAN,0
ETL-BATCH-512,2026-01-05 00:00:00,SAP ERP,8161,8161,8161,5.62,CLEAN,0
ETL-BATCH-513,2026-01-05 08:00:00,Salesforce CRM,48910,48910,48910,41.03,DUPLICATE_REMOVED,0
ETL-BATCH-514,2026-01-05 16:00:00,MySQL Transaction DB,21702,21692,21692,25.38,DATA_QUALITY_ALERT,10
ETL-BATCH-515,2026-01-06 00:00:00,Legacy Flat File,35707,35707,35707,34.26,CLEAN,0
ETL-BATCH-516,2026-01-06 08:00:00,SAP ERP,39432,39432,39432,28.68,CLEAN,0
ETL-BATCH-517,2026-01-06 16:00:00,Salesforce CRM,11442,11442,11442,8.35,CLEAN,0
ETL-BATCH-518,2026-01-07 00:00:00,MySQL Transaction DB,24448,24448,24448,29.6,DUPLICATE_REMOVED,0
ETL-BATCH-519,2026-01-07 08:00:00,Legacy Flat File,43679,43679,43679,52.67,NULL_VALUE_IMPUTED,0
ETL-BATCH-520,2026-01-07 16:00:00,SAP ERP,39579,39579,39579,27.38,CLEAN,0
ETL-BATCH-521,2026-01-08 00:00:00,Salesforce CRM,41987,41986,41986,39.23,DATA_QUALITY_ALERT,1
ETL-BATCH-522,2026-01-08 08:00:00,MySQL Transaction DB,47301,47301,47301,34.78,CLEAN,0
ETL-BATCH-523,2026-01-08 16:00:00,Legacy Flat File,34947,34947,34947,28.43,DUPLICATE_REMOVED,0
ETL-BATCH-524,2026-01-09 00:00:00,SAP ERP,40440,40440,40440,49.6,NULL_VALUE_IMPUTED,0
ETL-BATCH-525,2026-01-09 08:00:00,Salesforce CRM,25867,25867,25867,28.93,CLEAN,0
ETL-BATCH-526,2026-01-09 16:00:00,MySQL Transaction DB,11891,11891,11891,11.07,CLEAN,0
ETL-BATCH-527,2026-01-10 00:00:00,Legacy Flat File,16021,16021,16021,13.64,CLEAN,0
ETL-BATCH-528,2026-01-10 08:00:00,SAP ERP,21708,21708,21708,14.66,DUPLICATE_REMOVED,0
ETL-BATCH-529,2026-01-10 16:00:00,Salesforce CRM,9661,9661,9661,7.28,NULL_VALUE_IMPUTED,0
ETL-BATCH-530,2026-01-11 00:00:00,MySQL Transaction DB,39132,39132,39132,44.28,CLEAN,0
ETL-BATCH-531,2026-01-11 08:00:00,Legacy Flat File,26948,26948,26948,20.7,CLEAN,0
ETL-BATCH-532,2026-01-11 16:00:00,SAP ERP,25121,25121,25121,17.08,CLEAN,0
ETL-BATCH-533,2026-01-12 00:00:00,Salesforce CRM,20860,20860,20860,20.34,DUPLICATE_REMOVED,0
ETL-BATCH-534,2026-01-12 08:00:00,MySQL Transaction DB,35714,35714,35714,27.83,NULL_VALUE_IMPUTED,0
ETL-BATCH-535,2026-01-12 16:00:00,Legacy Flat File,31216,31213,31213,26.91,DATA_QUALITY_ALERT,3
ETL-BATCH-536,2026-01-13 00:00:00,SAP ERP,25487,25487,25487,23.31,CLEAN,0
ETL-BATCH-537,2026-01-13 08:00:00,Salesforce CRM,37044,37044,37044,38.02,CLEAN,0
ETL-BATCH-538,2026-01-13 16:00:00,MySQL Transaction DB,17077,17077,17077,15.43,DUPLICATE_REMOVED,0
ETL-BATCH-539,2026-01-14 00:00:00,Legacy Flat File,12452,12452,12452,10.28,NULL_VALUE_IMPUTED,0
ETL-BATCH-540,2026-01-14 08:00:00,SAP ERP,43702,43702,43702,40.95,CLEAN,0
ETL-BATCH-541,2026-01-14 16:00:00,Salesforce CRM,39728,39728,39728,48.96,CLEAN,0
ETL-BATCH-542,2026-01-15 00:00:00,MySQL Transaction DB,19323,19317,19317,14.74,DATA_QUALITY_ALERT,6
ETL-BATCH-543,2026-01-15 08:00:00,Legacy Flat File,39703,39703,39703,35.27,DUPLICATE_REMOVED,0
ETL-BATCH-544,2026-01-15 16:00:00,SAP ERP,14193,14193,14193,14.1,NULL_VALUE_IMPUTED,0
ETL-BATCH-545,2026-01-16 00:00:00,Salesforce CRM,39167,39167,39167,38.41,CLEAN,0
ETL-BATCH-546,2026-01-16 08:00:00,MySQL Transaction DB,33292,33292,33292,23.7,CLEAN,0
ETL-BATCH-547,2026-01-16 16:00:00,Legacy Flat File,43033,43033,43033,52.58,CLEAN,0
ETL-BATCH-548,2026-01-17 00:00:00,SAP ERP,44466,44466,44466,31.57,DUPLICATE_REMOVED,0
ETL-BATCH-549,2026-01-17 08:00:00,Salesforce CRM,15902,15894,15894,17.96,DATA_QUALITY_ALERT,8
ETL-BATCH-550,2026-01-17 16:00:00,MySQL Transaction DB,29149,29149,29149,21.37,CLEAN,0
ETL-BATCH-551,2026-01-18 00:00:00,Legacy Flat File,43441,43441,43441,50.92,CLEAN,0
ETL-BATCH-552,2026-01-18 08:00:00,SAP ERP,16145,16145,16145,14.41,CLEAN,0
ETL-BATCH-553,2026-01-18 16:00:00,Salesforce CRM,12278,12278,12278,9.02,DUPLICATE_REMOVED,0
ETL-BATCH-554,2026-01-19 00:00:00,MySQL Transaction DB,32257,32257,32257,29.85,NULL_VALUE_IMPUTED,0
ETL-BATCH-555,2026-01-19 08:00:00,Legacy Flat File,5378,5378,5378,5.54,CLEAN,0
ETL-BATCH-556,2026-01-19 16:00:00,SAP ERP,8349,8345,8345,6.3,DATA_QUALITY_ALERT,4
ETL-BATCH-557,2026-01-20 00:00:00,Salesforce CRM,16075,16075,16075,13.77,CLEAN,0
ETL-BATCH-558,2026-01-20 08:00:00,MySQL Transaction DB,29526,29526,29526,34.37,DUPLICATE_REMOVED,0
ETL-BATCH-559,2026-01-20 16:00:00,Legacy Flat File,15985,15985,15985,10.98,NULL_VALUE_IMPUTED,0
ETL-BATCH-560,2026-01-21 00:00:00,SAP ERP,7381,7381,7381,7.75,CLEAN,0
ETL-BATCH-561,2026-01-21 08:00:00,Salesforce CRM,46345,46345,46345,34.02,CLEAN,0
ETL-BATCH-562,2026-01-21 16:00:00,MySQL Transaction DB,41853,41853,41853,47.51,CLEAN,0
ETL-BATCH-563,2026-01-22 00:00:00,Legacy Flat File,34320,34312,34312,27.09,DATA_QUALITY_ALERT,8
ETL-BATCH-564,2026-01-22 08:00:00,SAP ERP,28309,28309,28309,19.23,NULL_VALUE_IMPUTED,0
ETL-BATCH-565,2026-01-22 16:00:00,Salesforce CRM,35603,35603,35603,25.64,CLEAN,0
ETL-BATCH-566,2026-01-23 00:00:00,MySQL Transaction DB,38783,38783,38783,31.24,CLEAN,0
ETL-BATCH-567,2026-01-23 08:00:00,Legacy Flat File,7271,7271,7271,4.95,CLEAN,0
ETL-BATCH-568,2026-01-23 16:00:00,SAP ERP,17452,17452,17452,13.9,DUPLICATE_REMOVED,0
ETL-BATCH-569,2026-01-24 00:00:00,Salesforce CRM,36552,36552,36552,43.88,NULL_VALUE_IMPUTED,0
ETL-BATCH-570,2026-01-24 08:00:00,MySQL Transaction DB,10969,10967,10967,8.73,DATA_QUALITY_ALERT,2
ETL-BATCH-571,2026-01-24 16:00:00,Legacy Flat File,23292,23292,23292,24.69,CLEAN,0
ETL-BATCH-572,2026-01-25 00:00:00,SAP ERP,23802,23802,23802,19.31,CLEAN,0
ETL-BATCH-573,2026-01-25 08:00:00,Salesforce CRM,7857,7857,7857,6.95,DUPLICATE_REMOVED,0
ETL-BATCH-574,2026-01-25 16:00:00,MySQL Transaction DB,21996,21996,21996,25.88,NULL_VALUE_IMPUTED,0
ETL-BATCH-575,2026-01-26 00:00:00,Legacy Flat File,40817,40817,40817,44.5,CLEAN,0
ETL-BATCH-576,2026-01-26 08:00:00,SAP ERP,46660,46660,46660,40.17,CLEAN,0
ETL-BATCH-577,2026-01-26 16:00:00,Salesforce CRM,40403,40400,40400,35.23,DATA_QUALITY_ALERT,3
ETL-BATCH-578,2026-01-27 00:00:00,MySQL Transaction DB,8488,8488,8488,7.2,DUPLICATE_REMOVED,0
ETL-BATCH-579,2026-01-27 08:00:00,Legacy Flat File,19961,19961,19961,16.98,NULL_VALUE_IMPUTED,0
ETL-BATCH-580,2026-01-27 16:00:00,SAP ERP,35410,35410,35410,41.12,CLEAN,0
ETL-BATCH-581,2026-01-28 00:00:00,Salesforce CRM,7060,7060,7060,8.71,CLEAN,0
ETL-BATCH-582,2026-01-28 08:00:00,MySQL Transaction DB,30286,30286,30286,25.47,CLEAN,0
ETL-BATCH-583,2026-01-28 16:00:00,Legacy Flat File,33910,33910,33910,26.65,DUPLICATE_REMOVED,0
ETL-BATCH-584,2026-01-29 00:00:00,SAP ERP,16696,16694,16694,17.29,DATA_QUALITY_ALERT,2
ETL-BATCH-585,2026-01-29 08:00:00,Salesforce CRM,41646,41646,41646,44.33,CLEAN,0
ETL-BATCH-586,2026-01-29 16:00:00,MySQL Transaction DB,27091,27091,27091,25.09,CLEAN,0
ETL-BATCH-587,2026-01-30 00:00:00,Legacy Flat File,47345,47345,47345,37.61,CLEAN,0
ETL-BATCH-588,2026-01-30 08:00:00,SAP ERP,35678,35678,35678,41.26,DUPLICATE_REMOVED,0
ETL-BATCH-589,2026-01-30 16:00:00,Salesforce CRM,27566,27566,27566,32.35,NULL_VALUE_IMPUTED,0
ETL-BATCH-590,2026-01-31 00:00:00,MySQL Transaction DB,13538,13538,13538,9.11,CLEAN,0
ETL-BATCH-591,2026-01-31 08:00:00,Legacy Flat File,42151,42143,42143,31.33,DATA_QUALITY_ALERT,8
ETL-BATCH-592,2026-01-31 16:00:00,SAP ERP,36087,36087,36087,25.6,CLEAN,0
ETL-BATCH-593,2026-02-01 00:00:00,Salesforce CRM,14763,14763,14763,11.53,DUPLICATE_REMOVED,0
ETL-BATCH-594,2026-02-01 08:00:00,MySQL Transaction DB,26128,26128,26128,28.31,NULL_VALUE_IMPUTED,0
ETL-BATCH-595,2026-02-01 16:00:00,Legacy Flat File,41052,41052,41052,46.61,CLEAN,0
ETL-BATCH-596,2026-02-02 00:00:00,SAP ERP,5098,5098,5098,3.72,CLEAN,0
ETL-BATCH-597,2026-02-02 08:00:00,Salesforce CRM,10871,10871,10871,7.36,CLEAN,0
ETL-BATCH-598,2026-02-02 16:00:00,MySQL Transaction DB,37638,37628,37628,34.43,DATA_QUALITY_ALERT,10
ETL-BATCH-599,2026-02-03 00:00:00,Legacy Flat File,42142,42142,42142,40.64,NULL_VALUE_IMPUTED,0
